,7_1,7_2,7a72_1,7a72_2,7b72_1,7b72_2
ABCC4__chr13,7.090866021,34.58283135,15.17542935,31.09677174,10.82245127,32.81876331
ABCC5__chr3,184.3625165,69.1656627,113.8157202,335.1540954,61.68797226,98.45628994
ABCC6P1__chr16,31.19981049,25.30451074,3.448961217,6.910393719,19.48041229,19.89015958
ABCC6__chr16,164.5080917,91.93972237,57.94254844,86.37992149,37.87857946,124.3134974
ABCC8__chr11,0,0,0,0,14.06918666,0
ABCC9__chr12,1.418173204,0.843483691,0,0,0,0
ABCD1__chrX,155.9990525,251.3581401,58.63234069,27.64157488,30.30286357,201.8851198
ABCD3__chr1,2470.457722,2555.755585,2134.217201,2373.720243,1876.613051,2146.148219
ABCD4__chr14,158.8353989,85.19185284,182.7949445,110.5662995,191.5573875,171.0553724
ABCE1__chr4,960.1032592,991.9368212,1389.241578,1029.648664,946.9644865,1072.079602
ABCF1__chr6,333.270703,293.5323246,309.7167173,328.2437017,277.0547526,402.7757316
ABCF2__chr7,262.3620428,172.9141568,181.41536,435.3548043,296.5351649,282.4402661
ABCF3__chr3,412.6884024,237.862401,295.9208724,214.2222053,177.4882009,260.5610905
ABCG1__chr21,177.2716505,127.3660374,63.46088639,217.6774022,81.16838455,110.3903857
ABCG2__chr4,1935.806424,1896.994822,927.0807751,563.1970881,1806.267118,1862.713445
ABCG4__chr11,0,0,85.53423818,0,0,0
ABCG5__chr2,7.090866021,43.01766827,15.8652216,0,11.9046964,18.8956516
ABCG8__chr2,0,0,0,0,0,6.961555854
ABHD10__chr3,1226.719822,1049.293712,1467.877894,1430.4515,1267.309044,1219.266782
ABHD11-AS1__chr7,22.69077127,22.77405967,17.93459833,24.18637802,21.64490255,46.74187502
ABHD11__chr7,304.9072389,376.1937264,400.0795012,476.8171666,321.4268028,345.0942688
ABHD12B__chr14,2.836346408,0,0,0,0,0
ABHD12__chr20,1703.226018,2031.108729,1460.979971,1513.376225,2204.533324,2000.950054
ABHD13__chr13,496.3606214,285.0974877,370.4184347,193.4910241,419.9111094,371.9459842
ABHD14A__chr3,631.0870758,234.4884662,213.8355954,359.3404734,431.8158058,599.6883114
ABHD14B__chr3,544.5785104,630.0823175,774.6366893,559.7418913,614.7152323,521.1221811
ABHD15__chr17,155.9990525,102.0615267,154.5134625,234.9533865,113.6357384,111.3848937
ABHD16A__chr6,2215.186545,1878.438181,2184.572035,1547.928193,2241.329659,2945.732634
ABHD17A__chr19,399.9248436,502.7162801,597.3600828,449.1755918,707.7883133,477.36383
ABHD17B__chr9,435.3791737,231.9580152,419.393684,507.9139384,425.3223351,550.9574205
ABHD17C__chr15,2554.129941,3031.480387,2171.465982,2473.920952,2304.099876,1916.416876
ABHD18__chr4,155.9990525,55.66992364,66.22005536,79.46952777,67.0991979,118.3464495
ABHD1__chr2,0,0,0,0,0,38.78581119
ABHD2__chr15,1984.024313,1927.360235,2125.249902,1782.88158,1990.248789,1579.278671
ABHD3__chr18,412.6884024,446.2028728,316.6146397,407.7132295,490.2570427,478.358338
ABHD4__chr14,2678.929183,1746.011241,1707.925595,984.731105,1555.186248,1619.05899
ABHD5__chr3,401.3430168,440.298487,397.3203322,594.2938599,388.5260007,436.5890029
ABHD6__chr3,316.2526245,249.6711727,213.8355954,290.2365362,264.0678111,288.407314
ABHD8__chr19,153.162706,43.01766827,55.87317171,100.2007089,82.25062968,75.58260642
ABI1__chr10,609.8144778,650.3259261,446.2955815,525.1899227,540.0403186,552.9464364
ABI2__chr2,231.1622323,345.8283135,384.2142796,269.5053551,329.0025187,253.5995347
ABI3BP__chr3,9.927212429,0,0,0,0,0
ABL1__chr9,622.5780366,474.8813183,902.2482543,1703.412052,835.4932383,622.561995
ABL2__chr1,90.76308506,70.85263008,51.73441825,110.5662995,99.56655172,83.53867025
ABLIM1__chr10,2219.441064,1998.212865,1747.243752,2214.781187,1556.268493,1684.696517
ABLIM2__chr4,0,1.686967383,83.46486145,3.45519686,1.082245127,82.54416227
ABLIM3__chr5,8.509039225,0,2.759168973,6.910393719,0,13.92311171
ABO__chr9,0,0.843483691,17.93459833,3.45519686,1.082245127,0.994507979
ABRACL__chr6,1043.775478,1070.380804,841.5465369,829.2472463,1168.824738,933.8429924
ABR__chr17,660.8687131,570.1949754,541.486911,846.5232306,567.0964467,540.0178327
ABT1__chr6,190.0352094,177.1315752,360.7613433,210.7670084,161.254524,323.2150932
ABTB1__chr3,167.3444381,110.4963636,102.7790443,58.73834662,70.34593328,15.91212767
ABTB2__chr11,127.6355884,166.1662872,84.84444593,158.9390555,189.3928973,181.0004522
ACAA1__chr3,944.503354,679.0043716,737.3879082,601.2042536,885.2765142,682.2324737
ACAA2__chr18,1930.133731,1872.533795,1694.819542,1910.723863,1464.277657,1474.855333
ACACA__chr17,262.3620428,226.0536293,298.6800414,314.4229142,169.912485,161.1102926
ACACB__chr12,51.05423535,134.9573906,124.852396,48.37275604,9.740206146,56.68695481
ACAD10__chr12,35.4543301,91.09623868,87.60361491,117.4766932,50.86552099,124.3134974
ACAD8__chr11,381.4885919,504.4032475,392.4917865,165.8494493,221.8602511,408.7427794
ACAD9__chr3,129.0537616,130.7399722,190.3826592,176.2150398,106.0600225,170.0608644
ACADM__chr1,422.6156148,421.7418457,438.7078668,411.1684263,416.664374,425.6494151
ACADSB__chr10,795.5951675,742.2656485,244.1864542,421.5340169,666.6629985,462.4462103
ACADS__chr12,191.4533826,155.2009992,175.8970221,207.3118116,191.5573875,213.8192155
ACADVL__chr17,1240.901554,1927.360235,1416.833268,1444.272287,1545.446042,1545.4654
ACAP1__chr17,8.509039225,10.1218043,6.897922434,3.45519686,2.164490255,1.989015958
ACAP2__chr3,513.3786999,667.1956,513.2054291,639.2114191,419.9111094,459.4626864
ACAP3__chr1,150.3263596,37.11328243,150.3747091,69.10393719,111.4712481,126.3025134
ACAT1__chr11,316.2526245,308.7150311,385.593864,293.6917331,304.1108808,355.0393486
ACAT2__chr6,212.7259806,164.4793198,149.6849168,138.2078744,166.6657496,161.1102926
ACBD3__chr1,677.8867916,734.6742953,665.6495148,514.8243321,665.5807533,606.6498673
ACBD4__chr17,157.4172257,202.436086,141.4074099,148.573465,93.07308095,187.9620081
ACBD5__chr10,343.1979154,381.2546286,342.1369527,376.6164577,348.482931,290.3963299
ACBD6__chr1,106.3629903,139.1748091,122.7830193,179.6702367,245.6696439,152.1597208
ACBD7__chr10,14.18173204,9.278320606,53.80379498,51.8279529,32.46735382,25.85720746
ACCS__chr11,51.05423535,15.18270645,58.63234069,62.19354348,61.68797226,45.74736704
ACD__chr16,151.7445328,74.22656485,103.4688365,117.4766932,165.5835045,75.58260642
ACE2__chrX,770.0680498,607.3082579,177.2766065,110.5662995,1056.271244,659.3587902
ACER2__chr9,43.96336933,45.54811934,32.42023544,24.18637802,32.46735382,84.53317823
ACER3__chr11,307.7435853,328.115156,249.0149999,114.0214964,261.9033208,407.7482715
ACE__chr17,343.1979154,204.1230533,180.7255678,76.01433091,200.2153486,296.3633778
ACHE__chr7,31.19981049,104.5919777,22.76314403,120.9318901,21.64490255,155.1432448
ACIN1__chr14,3199.398749,3184.994419,3601.405303,4284.444106,1792.197931,3577.245201
ACKR2__chr3,0,0,0,0,0,0
ACKR4__chr3,42.54519612,6.747869532,27.59168973,51.8279529,128.7871702,115.3629256
ACLY__chr17,1660.680822,1694.558736,1522.371481,1672.31528,1386.356008,1417.17387
ACMSD__chr2,8.509039225,8.434836915,0,0,0,1.989015958
ACO1__chr9,1375.628008,1105.80712,1137.467409,1078.02142,1247.828632,1206.338179
ACO2__chr22,14.18173204,8.434836915,8.27750692,24.18637802,16.23367691,7.956063833
ACOT11__chr1,160.2535721,143.3922276,117.2646814,62.19354348,98.48430659,129.2860373
ACOT13__chr6,422.6156148,611.5256763,358.0021743,338.6092923,393.9372264,455.4846545
ACOT1__chr14,0,0,0,0,1.082245127,0
ACOT2__chr14,12.76355884,11.80877168,12.41626038,13.82078744,8.657961019,12.92860373
ACOT4__chr14,39.70884972,77.60049962,25.522313,27.64157488,50.86552099,83.53867025
ACOT7__chr1,992.7212429,1326.799847,1280.944196,1019.283074,1229.430465,679.2489498
ACOT8__chr20,60.98144778,65.79172794,64.15067863,13.82078744,99.56655172,56.68695481
ACOT9__chrX,294.9800265,210.0274392,194.5214126,321.333308,237.0116829,225.7533113
ACOX1__chr17,687.814004,592.1255514,644.9557475,480.2723635,636.3601349,636.4851067
ACOX2__chr3,8.509039225,27.83496182,15.17542935,0,23.8093928,21.87917554
ACOX3__chr4,255.2711767,164.4793198,121.4034348,58.73834662,104.9777774,125.3080054
ACP1__chr2,1110.429619,1409.461248,1396.829293,1288.788429,1353.888654,1169.541384
ACP2__chr11,126.2174152,183.8794447,97.26070631,27.64157488,107.1422676,120.3354655
ACP5__chr19,0,1.686967383,16.55501384,17.2759843,4.32898051,2.983523938
ACP6__chr1,253.8530035,248.827689,228.3212326,279.8709456,343.0717054,203.8741357
ACP7__chr19,1.418173204,2.530451074,2.06937673,0,0,0
ACPP__chr3,7.090866021,0,17.24480608,6.910393719,15.15143178,4.972539896
ACRBP__chr12,0,0,9.657091407,0,0,0
ACRC__chrX,5.672692817,21.08709229,2.759168973,34.5519686,12.98694153,12.92860373
ACR__chr22,12.76355884,0,10.34688365,10.36559058,0,18.8956516
ACSBG1__chr15,0,0,0,0,0,0
ACSF2__chr17,97.85395109,90.25275499,104.1586287,124.387087,58.44123688,138.2366091
ACSF3__chr16,117.7083759,194.8447327,187.6234902,152.0286618,43.2898051,352.0558246
ACSL1__chr4,311.9981049,592.1255514,466.9893488,407.7132295,362.5521177,406.7537635
ACSL3__chr2,1236.647034,1371.504482,945.0153734,1091.842208,889.6054947,1112.854429
ACSL4__chrX,363.0523403,449.5768076,523.5523127,383.5268514,285.7127136,435.5944949
ACSL5__chr10,2263.404434,2899.896931,1423.73119,1160.946145,2595.223815,2837.331265
ACSL6__chr5,2.836346408,0,2.759168973,0,0,0
ACSM1__chr16,0,3.373934766,5.518337947,0,0,0
ACSM2A__chr16,0,1.686967383,0,0,0,6.961555854
ACSM3__chr16,28.36346408,23.61754336,8.27750692,79.46952777,43.2898051,48.73089098
ACSM5__chr16,0,0,0,0,0,0
ACSS1__chr20,330.4343566,312.9324495,262.1210525,193.4910241,120.1292091,192.934548
ACSS2__chr20,1048.029998,1649.010617,720.1431021,556.2866944,653.6760569,1232.195386
ACTA1__chr1,1.418173204,0,0,0,0,0
ACTA2__chr10,14.18173204,0,5.518337947,0,10.82245127,4.972539896
ACTBL2__chr5,0,0,0.689792243,0,3.246735382,0
ACTB__chr7,65367.8575,55785.4809,52844.98376,64653.64364,72128.391,56824.19691
ACTG1P17__chr15,7.090866021,0,5.518337947,0,6.493470764,0
ACTG1P20__chr1,24.10894447,7.591353223,7.587714677,51.8279529,27.05612818,44.75285906
ACTG1__chr17,35966.29063,35079.64325,33236.94945,32216.25552,35856.94556,33133.02783
ACTL10__chr20,68.0723138,10.96528799,189.6928669,0,45.45429535,3.978031917
ACTL6A__chr3,472.251677,706.8393335,611.1559276,811.971262,570.3431821,508.1935774
ACTN1__chr14,13159.22916,9517.026491,13444.74062,13703.31075,10808.38209,13060.87329
ACTN2__chr1,0,0,0,0,0,0
ACTN4__chr19,30639.63208,26749.39831,30679.19982,22679.91219,24844.01914,28889.46229
ACTR10__chr14,682.1413112,969.1627615,1155.402008,853.4336244,884.1942691,1208.327195
ACTR1A__chr10,974.2849912,765.0397082,1037.447534,621.9354348,755.4070989,1061.140014
ACTR1B__chr2,1165.738374,722.8655236,773.9468971,984.731105,640.6891154,778.6997477
ACTR2__chr2,1839.370646,2046.291436,1503.747091,2249.333156,1714.276282,1833.872714
ACTR3B__chr7,86.50856545,66.63521163,51.73441825,0,38.96082459,33.81327129
ACTR3C__chr7,63.81779419,48.92205411,76.56693901,148.573465,46.53654048,16.90663565
ACTR3__chr2,2826.419196,2675.530269,2377.024071,2505.017723,2075.746154,2302.285972
ACTR5__chr20,93.59943147,32.05238028,62.77109415,65.64874034,56.27674662,68.62105056
ACTR6__chr12,117.7083759,156.8879666,149.6849168,152.0286618,169.912485,207.8521676
ACTR8__chr3,69.490487,105.4354614,70.35880882,93.29031521,99.56655172,73.59359046
ACTRT3__chr3,0,0,2.759168973,0,4.32898051,20.88466756
ACVR1B__chr12,144.6536668,354.2631504,245.5660386,141.6630712,182.8994265,207.8521676
ACVR1C__chr2,180.1079969,63.26127686,129.6809418,69.10393719,114.7179835,100.4453059
ACVR1__chr2,182.9443433,132.4269396,248.3252076,183.1254336,268.3967916,344.0997608
ACVR2A__chr2,285.052814,393.9068839,210.3866342,234.9533865,272.7257721,202.8796278
ACVR2B-AS1__chr3,31.19981049,5.90438584,56.56296396,0,4.32898051,3.978031917
ACVR2B__chr3,34.0361569,40.48721719,77.25673126,65.64874034,47.6187856,16.90663565
ACY1__chr3,0,1.686967383,0,0,0,0
ACY3__chr11,619.7416902,183.0359611,162.7909694,145.1182681,713.1995389,379.902048
ACYP1__chr14,307.7435853,134.1139069,173.8276453,196.946221,101.731042,171.0553724
ACYP2__chr2,104.9448171,129.8964885,123.4728116,176.2150398,109.3067579,130.2805453
ADAL__chr15,34.0361569,45.54811934,103.4688365,100.2007089,40.04306971,62.65400269
ADAM10__chr15,940.2488343,1102.433185,1009.855844,943.2687427,754.3248538,1161.58532
ADAM15__chr1,279.3801212,242.9233031,305.5779638,283.3261425,239.1761731,201.8851198
ADAM17__chr2,364.4705135,247.9842053,226.2518558,283.3261425,388.5260007,290.3963299
ADAM19__chr5,0,1.686967383,0.689792243,0,0,3.978031917
ADAM1A__chr12,0,0.843483691,0.689792243,20.73118116,6.493470764,17.90114363
ADAM20P1__chr14,0,1.686967383,0,0,0,0
ADAM22__chr7,15.59990525,11.80877168,26.90189749,17.2759843,0,5.967047875
ADAM23__chr2,0,2.530451074,0,0,7.575715892,0
ADAM28__chr8,0,8.434836915,53.80379498,0,0,24.86269948
ADAM32__chr8,0,0,6.897922434,0,0,0
ADAM33__chr20,0,0,0,0,0,0
ADAM8__chr10,58.14510137,91.09623868,48.97524928,48.37275604,68.18144302,68.62105056
ADAM9__chr8,2379.694637,2545.633781,2343.914043,2677.777566,2718.59976,2556.880014
ADAMTS13__chr9,0,4.217418457,4.828545704,10.36559058,2.164490255,41.76933513
ADAMTS14__chr10,25.52711767,69.1656627,16.55501384,69.10393719,3.246735382,3.978031917
ADAMTS15__chr11,0,1.686967383,0,0,0,0
ADAMTS17__chr15,0,0,1.379584487,20.73118116,0,0
ADAMTS19__chr5,29.78163729,43.86115196,33.11002768,13.82078744,3.246735382,49.72539896
ADAMTS2__chr5,1.418173204,1.686967383,0.689792243,0,0,0
ADAMTS4__chr1,0,0,0,0,0,1.989015958
ADAMTS5__chr21,0,0,0,0,0,0
ADAMTS6__chr5,0,0,0,0,0,0
ADAMTS7__chr15,0,0,1.379584487,3.45519686,3.246735382,0
ADAMTS9__chr3,0,0.843483691,0,0,2.164490255,0
ADAMTSL1__chr9,0,0,0,0,0,0
ADAMTSL2__chr9,0,0,0,0,0,0
ADAMTSL4-AS1__chr1,0,0,33.79981992,0,0,0.994507979
ADAMTSL4__chr1,21.27259806,42.17418457,62.77109415,10.36559058,99.56655172,4.972539896
ADAMTSL5__chr19,93.59943147,118.9312005,189.6928669,93.29031521,88.74410044,115.3629256
ADAP1__chr7,380.0704187,274.9756834,310.4065095,490.6379541,220.778006,275.4787102
ADAP2__chr17,69.490487,0.843483691,11.72646814,20.73118116,10.82245127,7.956063833
ADARB1__chr21,45.38154253,0,24.83252076,3.45519686,4.32898051,4.972539896
ADARB2__chr10,0,0,0,0,0,2.983523938
ADAR__chr1,1172.82924,1193.529423,1170.577437,1437.361894,1996.74226,2429.582993
ADAT1__chr16,592.7963993,520.4294376,893.2809552,649.5770096,439.3915217,736.9304126
ADAT2__chr6,123.3810688,195.6882164,83.46486145,297.1469299,143.9386019,203.8741357
ADAT3__chr19,48.21788894,58.20037471,77.9465235,24.18637802,2.164490255,53.70343088
ADA__chr20,12.76355884,80.97443438,44.14670358,93.29031521,116.8824738,25.85720746
ADCK1__chr14,103.5266439,85.19185284,120.0238503,34.5519686,82.25062968,245.6434709
ADCK2__chr7,112.0356831,61.57430948,102.089252,103.6559058,59.52348201,64.64301865
ADCK3__chr1,551.6693764,280.8800693,300.7494181,383.5268514,329.0025187,223.7642953
ADCK4__chr19,150.3263596,115.5572657,177.9663988,179.6702367,126.6226799,70.61006652
ADCK5__chr8,100.6902975,82.66140177,86.91382266,44.91755918,102.8132871,182.9894682
ADCY10P1__chr6,60.98144778,5.90438584,6.897922434,24.18637802,55.1945015,6.961555854
ADCY1__chr7,19.85442486,0,44.83649582,6.910393719,29.22061844,7.956063833
ADCY2__chr5,0,0,2.06937673,0,0,2.983523938
ADCY3__chr2,25.52711767,32.89586397,40.69774236,58.73834662,20.56265742,19.89015958
ADCY4__chr14,0,1.686967383,0,3.45519686,0,3.978031917
ADCY6__chr12,273.7074284,146.7661623,163.4807617,297.1469299,233.7649475,171.0553724
ADCY7__chr16,0,1.686967383,0.689792243,0,1.082245127,6.961555854
ADCY9__chr16,124.799242,71.69611378,88.98319939,231.4981896,66.01695277,124.3134974
ADD1__chr4,1791.152757,2188.840179,1445.11475,1527.197012,2291.112935,1573.311623
ADD2__chr2,0,0,0,0,0,0
ADD3-AS1__chr10,0,0,0.689792243,0,0,0.994507979
ADD3__chr10,2717.219859,3240.664343,1919.002021,1934.910241,2055.183497,2347.038831
ADGB__chr6,0,0,0,0,0,0
ADGRA1__chr10,0,0,0,0,0,1.989015958
ADGRA3__chr4,225.4895395,153.5140319,194.5214126,183.1254336,168.8302399,263.5446145
ADGRB2__chr1,12.76355884,0,0,0,0,0
ADGRE2__chr19,0,0,0,0,0,0
ADGRE5__chr19,219.8168466,204.966537,215.9049722,283.3261425,185.0639168,212.8247075
ADGRF1__chr6,173.0171309,231.1145315,99.33008304,193.4910241,219.6957609,153.1542288
ADGRF2__chr6,0,1.686967383,0,6.910393719,1.082245127,0.994507979
ADGRF4__chr6,1.418173204,0,1.379584487,17.2759843,14.06918666,19.89015958
ADGRF5__chr6,1.418173204,0,0,0,0,0
ADGRG1__chr16,494.9424482,410.7765578,623.572188,462.9963792,427.4868253,403.7702395
ADGRG2__chrX,0,0,0,0,0,0
ADGRG4__chrX,4.254519612,0,0.689792243,0,0,0
ADGRG5__chr16,12.76355884,11.80877168,5.518337947,10.36559058,0,0
ADGRG6__chr6,2020.896816,2275.719,1180.924321,2297.705912,1916.656121,2641.413193
ADGRG7__chr3,306.3254121,402.3417208,102.089252,196.946221,445.8849925,402.7757316
ADGRL1__chr19,296.3981997,210.8709229,342.1369527,290.2365362,494.5860232,391.8361438
ADGRL2__chr1,0,0,2.759168973,0,4.32898051,163.0993086
ADGRL3__chr4,199.9624218,73.38308116,19.31418281,79.46952777,112.5534932,71.6045745
ADGRV1__chr5,0,10.96528799,0,0,0,0
ADH1A__chr4,0,6.747869532,0,0,0,0
ADH1C__chr4,4.254519612,33.73934766,22.76314403,72.55913405,32.46735382,22.87368352
ADH4__chr4,595.6327457,595.4994862,494.5810385,639.2114191,536.7935832,303.3249336
ADH5__chr4,2817.910157,3249.09918,2694.328503,2988.745284,3806.256113,3859.685467
ADH6__chr4,331.8525298,177.1315752,235.219155,110.5662995,175.3237106,228.7368352
ADHFE1__chr8,1.418173204,12.65225537,16.55501384,6.910393719,0,23.8681915
ADI1__chr2,2737.074284,2560.816487,2008.675013,2124.946069,2797.603654,2399.747754
ADIPOQ-AS1__chr3,0,2.530451074,7.587714677,3.45519686,0,0.994507979
ADIPOQ__chr3,0,0,0,0,0,0
ADIPOR1__chr1,2998.018154,2018.456474,3057.849015,2498.10733,2538.947069,3160.546358
ADIPOR2__chr12,445.3063861,463.9160303,351.1042519,386.9820483,582.2478785,692.1775535
ADIRF__chr10,2264.822607,2702.521748,1299.568587,1195.498113,2285.701709,2128.247075
ADK__chr10,686.3958308,506.9336986,754.6327142,1340.616382,869.0428373,563.8860242
ADM2__chr22,202.7987682,70.85263008,145.5461634,611.5698442,219.6957609,509.1880853
ADM5__chr19,0,0.843483691,86.91382266,0,0,0
ADM__chr11,460.9062913,567.6645244,21.38355954,103.6559058,324.6735382,721.0182849
ADNP-AS1__chr20,0,0,4.828545704,13.82078744,0,28.8407314
ADNP2__chr18,300.6527193,330.6456071,289.02295,179.6702367,246.751889,270.5061703
ADNP__chr20,435.3791737,635.1432197,480.7851936,621.9354348,478.3523463,507.1990694
ADORA1__chr1,0,0,0,0,0,0
ADORA2B__chr17,564.4329352,552.4818179,577.3561077,542.465907,622.2909482,377.9130321
ADORA3__chr1,7.090866021,0,0,0,0,0
ADO__chr10,804.1042067,671.4130184,809.1263015,1033.103861,1022.721645,653.3917423
ADPGK__chr15,243.9257911,205.8100207,294.5412879,266.0501582,218.6135157,266.5281384
ADPRHL1__chr13,126.2174152,117.2442331,71.04860107,55.28314976,14.06918666,95.472766
ADPRHL2__chr1,102.1084707,150.9835808,124.1626038,107.1111027,85.49736506,178.0169283
ADPRH__chr3,0,0.843483691,1.379584487,24.18637802,0,0
ADPRM__chr17,48.21788894,158.574934,113.1259279,13.82078744,152.596563,254.5940427
ADRA1B__chr5,0,0,0,0,0,0
ADRA1D__chr20,0,0,0,0,0,0
ADRA2A__chr10,1547.226966,1402.713379,1309.91547,1599.756146,1443.715,1243.134974
ADRA2B__chr2,0,0,20.00397506,0,0,0
ADRA2C__chr4,188.6170361,126.5225537,152.4440858,58.73834662,155.8432983,61.65949471
ADRB1__chr10,49.63606214,84.34836915,43.45691133,20.73118116,46.53654048,71.6045745
ADRB2__chr5,87.92673866,68.32217901,311.0963018,172.759843,61.68797226,166.0828325
ADRB3__chr8,0,0,0,0,2.164490255,0
ADRBK1__chr11,2924.273147,2408.989423,3526.90774,3258.250639,2845.22244,2812.468565
ADRBK2__chr22,26.94529088,67.47869532,0,31.09677174,76.83940404,54.69793885
ADRM1__chr20,411.2702292,326.4281886,495.2708307,552.8314976,383.1147751,421.6713832
ADSL__chr22,570.1056281,712.7437193,898.7992931,939.8135459,812.7660907,516.1496412
ADSSL1__chr14,0,10.96528799,6.897922434,24.18637802,18.39816717,8.950571813
ADSS__chr1,446.7245593,631.7692849,675.9963985,449.1755918,503.2439842,497.2539896
ADTRP__chr6,9.927212429,6.747869532,8.967299164,0,31.38510869,12.92860373
AEBP2__chr12,277.961948,326.4281886,342.1369527,248.7741739,387.4437556,350.0668087
AEN__chr15,208.471461,204.966537,266.9495982,342.0644891,305.1931259,119.3409575
AES__chr19,6217.271327,5976.081954,4298.785261,5099.870565,5176.378444,5373.326611
AFAP1-AS1__chr4,0,0.843483691,2.06937673,3.45519686,0,0.994507979
AFAP1L1__chr5,15.59990525,8.434836915,0,0,1.082245127,1.989015958
AFAP1L2__chr10,164.5080917,89.4092713,60.70171742,51.8279529,91.99083583,78.56613035
AFAP1__chr4,378.6522455,379.5676612,392.4917865,190.0358273,557.3562406,278.4622342
AFF1__chr4,391.4158043,363.541471,293.8514957,328.2437017,401.5129423,212.8247075
AFF2__chrX,0,0,2.06937673,0,3.246735382,1.989015958
AFF3__chr2,0,0,0.689792243,6.910393719,0,0
AFF4__chr5,536.0694712,408.2461067,362.1409278,518.279529,474.0233658,638.4741226
AFG3L1P__chr16,93.59943147,31.20889659,111.7463434,124.387087,127.704925,46.74187502
AFG3L2__chr18,711.9229485,1138.702984,894.6605396,438.8100012,854.9736506,621.567487
AFMID__chr17,41.12702292,40.48721719,63.46088639,82.92472463,97.40206146,97.46178196
