,1_1,1_2,1b24_1,1b24_2,1b60_1,1b60_2,6_1,6_2,6a24_1,6a24_2,6a60_1,6a60_2,6b24_1,6b24_2,6b60_1,6b60_2
ABCB8__chr7,53.06646526,27.05753888,55.47661381,41.40164102,21.762548,65.58428259,32.09965375,22.80977225,23.85770024,22.75700893,49.94998163,45.44246512,29.85526561,0,47.42153602,37.86196861
ABCB9__chr12,27.29132499,6.581563511,22.49051911,19.87278769,12.09030445,0,19.90178532,27.56180814,26.72062426,24.17932199,35.22788178,51.25487345,14.18125117,4.507778311,101.2513877,17.39603963
ABCC1__chr16,27.7967199,62.15921094,20.99115117,14.90459077,25.38963934,0,75.75518284,31.36343685,50.5783245,61.15946149,58.88839939,62.35128935,54.48585974,81.14000959,57.03400954,58.32789759
ABCC10__chr6,71.26068192,37.29552656,89.96207645,67.89869128,68.91473534,5.044944814,24.39573685,19.95855072,34.83224234,32.71320033,24.18630689,44.91406436,35.82631873,31.55444818,33.9640731,22.51252188
ABCC11__chr16,0.505394907,0,0,0,1.209030445,0,1.28398615,0,0,0,0,0,0,0,0,0.511648224
ABCC13__chr21,4.548554165,2.193854504,0,0,33.85285245,25.22472407,0.641993075,0,0,0,0,0,0,0,0,0.511648224
ABCC2__chr10,88.44410876,120.6619977,47.97977411,9.936393846,151.1288056,242.1573511,1.28398615,11.40488613,2.862924028,9.956191406,4.732103523,15.85202272,14.18125117,9.015556622,5.126652543,1.534944673
ABCC3__chr17,1561.670263,1557.636698,1141.019003,1101.283651,1242.883297,1205.741811,1759.061025,1506.395376,1424.781858,1409.51224,1065.249082,1074.76714,1611.437961,1437.981281,955.4798676,1302.144731
ABCC4__chr13,0.505394907,0,0,0,4.836121778,10.08988963,1.28398615,0,2.385770024,1.422313058,3.680524962,0.528400757,0,9.015556622,1.281663136,2.558241122
ABCC5__chr3,63.67975831,21.93854504,46.48040617,49.68196923,47.15218734,20.17977926,30.17367452,36.11547273,59.64425059,51.20327009,25.23788545,23.77803407,74.63816403,45.07778311,49.34403072,33.25713459
ABCC6__chr16,55.08804489,76.05362279,19.49178323,39.74557538,68.91473534,85.76406184,21.18577147,25.66099378,19.56331419,12.80081752,10.51578561,26.94843862,11.1957246,31.55444818,23.06993644,11.25626094
ABCC6P1__chr16,18.19421666,21.93854504,13.49431147,18.21672205,19.34448711,75.67417222,9.629896124,13.30570048,1.431462014,15.64544364,3.680524962,2.642003786,2.985526561,0,5.767484111,4.093185796
ABCC6P2__chr16,0,0,0,0,0,0,0,0,0,0,0,0.528400757,0,0,0.640831568,0
ABCC8__chr11,0,0,0,0,3.627091334,0,0,0,0,0,0,0,0,0,0,0
ABCC9__chr12,0.505394907,0,0,13.24852513,2.418060889,0,0,0,0,0,1.051578561,1.585202272,2.985526561,0,0,0
ABCD1__chrX,20.7211912,15.35698153,22.49051911,18.21672205,14.50836534,151.3483444,17.9758061,6.65285024,1.908616019,0,22.08314977,5.284007572,6.717434763,4.507778311,3.844989407,3.581537571
ABCD3__chr1,438.1773846,585.7591525,437.8154387,410.704279,546.481761,514.5843711,293.3908352,415.3279364,462.3622306,496.3872572,364.8977605,406.868583,447.8289842,590.5189587,432.5613083,409.8302278
ABCD4__chr14,50.53949072,38.0268114,35.98483058,29.80918154,64.07861356,40.35955851,35.9516122,24.71058661,53.91840253,14.22313058,34.17630322,30.11884316,80.60921715,31.55444818,42.93571505,27.1173559
ABCE1__chr4,143.0267587,156.4949546,226.4045591,243.4416492,137.8294707,65.58428259,136.1025319,235.7009799,295.8354829,301.5303683,241.3372797,316.5120535,252.2769944,283.9900336,319.7749524,328.4781601
ABCF1__chr6,180.9313768,124.3184219,131.9443788,180.5111549,180.1455362,237.1124063,161.7822549,201.4863216,136.9431994,109.5181055,243.9662261,190.7526733,121.6602074,49.58556142,226.854375,147.8663369
ABCF2__chr7,60.14199396,59.96535643,56.97598175,54.65016615,47.15218734,50.44944814,64.19930749,55.12361628,79.68471879,92.45034877,76.76523492,94.58373553,84.34112536,31.55444818,78.82228284,114.6092023
ABCF3__chr3,71.76607683,87.02289531,79.46650087,79.49115077,67.7057049,60.53933777,54.56941137,64.62768805,42.46670642,45.51401785,38.90840674,63.93649162,94.04408668,63.10889635,71.13230403,58.83954581
ABCG1__chr21,36.89382823,50.45865358,8.996207645,13.24852513,31.43479156,80.71911703,56.49539059,20.9089579,12.88315813,15.64544364,15.77367841,22.72123256,16.42039609,36.06222649,16.0207892,9.721316265
ABCG2__chr4,847.0418645,883.3920801,221.9064552,193.75968,1192.104018,1094.753025,199.0178532,97.89193925,491.9457789,371.2237081,140.9115271,214.0023067,466.4885252,960.1567802,234.5443538,148.8896333
ABCG4__chr11,5.053949072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG5__chr2,17.18342685,11.70055735,2.998735882,3.312131282,18.13545667,5.044944814,0,0.950407177,4.771540047,4.266939174,3.154735682,16.90882423,5.971053122,0,7.049147246,15.86109496
ABCG8__chr2,2.526974536,0,0,0,3.627091334,0,0,0,0.477154005,0,1.577367841,1.056801514,0.74638164,0,0.640831568,1.023296449
ABHD1__chr2,0,0,0,0,0,0,0,6.65285024,0.477154005,0,0,0,0,0,0,0
ABHD10__chr3,76.31463099,104.5737313,68.97092528,82.80328205,100.3495269,85.76406184,118.7687189,114.0488613,105.928189,120.8966099,128.8183737,154.8214219,62.69605779,171.2955758,116.6313453,100.283052
ABHD11__chr7,145.0483384,162.3452333,200.9153041,142.4216451,152.337836,186.6629581,155.3623241,140.6602622,219.4908422,250.3270982,106.2094346,143.725006,182.8635019,166.7877975,139.0604502,179.0768786
ABHD11-AS1__chr7,37.39922313,43.14580524,20.99115117,24.84098461,30.22576112,55.49439296,28.2476953,37.06587991,22.42623822,5.689252232,15.24788913,19.02242726,12.68848789,18.03111324,14.09829449,9.721316265
ABHD12__chr20,386.627104,425.6077737,257.8912858,228.5370585,314.3479156,196.7528478,335.7623782,261.3619737,246.2114664,241.7932199,235.5535976,236.1951385,371.6980569,135.2333493,176.8695127,205.170938
ABHD12B__chr14,0,0.731284835,0,1.656065641,6.045152223,0,0.641993075,0,0,0,0,0,0,0,0,0
ABHD13__chr13,89.96029349,103.1111617,98.9582841,39.74557538,89.4682529,80.71911703,40.44556372,69.37972393,106.8824971,88.18340959,66.7752386,72.39090373,92.5513234,85.6477879,57.67484111,86.46854993
ABHD14A__chr3,44.98014674,106.036301,68.97092528,72.8668882,33.85285245,116.0337307,84.74308589,30.41302967,107.8368051,92.45034877,47.84682451,85.60092266,65.68158435,13.52333493,102.5330509,125.353815
ABHD14B__chr3,206.7065171,143.3318276,140.9405864,177.1990236,267.1957283,413.6854748,328.7004544,385.8653139,157.4608216,206.2353934,299.1741005,444.9134375,140.3197484,54.09333973,264.6634375,309.5471758
ABHD15__chr17,40.43159258,21.2072602,40.4829344,34.77737846,41.10703512,116.0337307,28.2476953,24.71058661,39.12662839,24.17932199,27.34104257,35.93125149,82.84836207,54.09333973,43.57654661,44.0017473
ABHD16A__chr6,464.9633146,435.8457614,499.2895243,510.0682174,409.8613207,393.5056955,200.9438325,224.2960938,428.0071422,416.737726,269.7299008,344.5172937,418.7201002,928.602332,294.1416896,305.9656382
ABHD17A__chr19,35.37764351,22.66982987,58.47534969,49.68196923,87.05019201,80.71911703,50.71745292,44.66913733,29.10639429,58.31483538,43.11472098,31.70404543,33.58717381,4.507778311,30.75991526,31.21054169
ABHD17B__chr9,78.84160553,100.9173072,82.46523675,46.36983795,93.09534424,30.26966889,61.63133519,112.1480469,63.46148263,102.4065402,41.01156386,66.5784954,92.5513234,157.7722409,66.64648306,41.95515441
ABHD17C__chr15,490.7384549,526.5250809,641.7294787,609.4321559,689.1473534,237.1124063,656.7589156,684.2931676,738.6343993,696.9333984,579.9455762,686.3925836,748.6207852,410.2078263,599.8183475,546.4403037
ABHD18__chr4,27.29132499,19.0134057,16.49304735,4.968196923,29.01673067,0,24.39573685,25.66099378,36.74085836,21.33469587,26.81525329,29.06204164,25.37697577,45.07778311,27.55575742,29.67559702
ABHD2__chr15,1071.942598,1204.426123,989.582841,995.2954502,673.4299577,797.1012807,852.5668035,514.1702829,1098.885673,1009.842271,719.8055247,688.5061866,1094.941866,721.2445297,732.470482,740.3549808
ABHD3__chr18,155.1562365,127.974846,119.9494353,107.6442667,139.0385011,45.40450333,52.64343214,46.56995168,164.1409776,190.5899498,73.08470996,73.44770525,206.7477144,441.7622745,61.51983051,74.70064077
ABHD4__chr14,829.3530427,432.9206221,811.158056,423.9528041,686.7292925,645.7529362,908.420201,402.022236,899.4352989,780.8498688,571.0071584,560.1048026,590.3878775,144.2489059,447.3004344,458.4368091
ABHD5__chr3,136.9620199,223.7731594,124.4475391,86.11541333,165.6371709,100.8988963,72.54521747,105.4951967,163.1866696,227.5700893,159.8399412,153.7646203,246.3059413,234.4044722,111.5046928,177.5419339
ABHD6__chr3,63.1743634,62.15921094,47.97977411,61.27442872,51.98830912,75.67417222,73.82920362,75.082167,83.02479682,75.38259207,69.404185,48.61286966,55.23224138,63.10889635,74.97729344,93.11997685
ABHD8__chr19,10.61329305,15.35698153,13.49431147,31.46524718,3.627091334,10.08988963,23.75374377,15.20651484,24.33485424,5.689252232,15.77367841,15.85202272,12.68848789,0,6.408315678,13.30285384
ABI1__chr10,179.4151921,180.6273541,152.93553,115.9245949,227.2977236,90.80900666,127.7566219,125.4537474,150.7806655,123.741236,108.838381,124.1741779,132.855932,193.8344674,121.7579979,119.2140363
ABI2__chr2,37.39922313,23.40111471,28.48799088,52.99410051,41.10703512,45.40450333,82.81710666,97.89193925,45.80678445,58.31483538,66.24944932,70.80570146,52.24671482,36.06222649,69.20980933,79.30547479
ABI3BP__chr3,0,0,0,0,0,0,1.925979225,0,0,0,0,0,0,4.507778311,0,0
ABL1__chr9,183.9637462,114.0804342,182.9228888,228.5370585,110.0217705,110.9887859,106.5708504,157.7675914,119.2885012,162.1436886,101.4773311,92.47013251,111.957246,45.07778311,112.1455244,108.9810718
ABL2__chr1,17.18342685,22.66982987,77.96713293,19.87278769,16.92642622,25.22472407,6.419930749,29.46262249,16.70039016,25.60163504,21.03157121,14.26682044,24.63059413,58.60111804,37.16823093,17.39603963
ABLIM1__chr10,358.8303841,400.7440893,502.2882602,546.5016615,458.2225385,358.1910818,643.2770611,519.8727259,628.8889782,704.0449637,551.552955,561.1616041,680.700056,509.3789491,520.9960647,451.273734
ABLIM2__chr4,2.526974536,2.193854504,0,0,1.209030445,0,1.925979225,11.40488613,1.908616019,0,2.103157121,2.113603029,2.985526561,0,0.640831568,5.628130469
ABLIM3__chr5,5.559343979,4.387709007,0,3.312131282,2.418060889,0,1.28398615,0.950407177,1.431462014,5.689252232,0,2.113603029,0,0,1.922494704,0
ABO__chr9,0.505394907,0,0,19.87278769,0,0,1.28398615,0.950407177,1.908616019,2.844626116,0,1.056801514,0,0,3.844989407,8.698019816
ABR__chr17,127.3595166,120.6619977,173.9266811,208.6642708,193.4448711,95.85395147,132.2505734,96.94153207,127.4001193,102.4065402,129.8699522,93.52693402,95.53684996,238.9122505,101.2513877,95.16656975
ABRACL__chr6,388.1432887,417.5636405,386.8369287,468.6665764,446.1322341,338.0113026,216.9936593,202.4367287,389.3576678,429.5385435,291.8130506,280.5808021,389.6112162,247.9278071,301.1908369,337.6878281
ABT1__chr6,94.50884765,92.87317399,128.9456429,150.7019733,100.3495269,156.3932892,114.2747673,106.4456038,145.0548174,162.1436886,148.7983663,128.9297848,107.4789562,90.15556622,104.4555456,141.2149099
ABTB1__chr3,16.17263703,29.25139338,16.49304735,21.52885333,70.12376579,45.40450333,31.45766067,24.71058661,36.26370436,18.49006975,11.56736417,13.21001893,26.86973905,31.55444818,21.14744174,13.81450206
ABTB2__chr11,39.42080276,19.0134057,52.47787793,59.61836307,45.9431569,60.53933777,8.345909974,8.553664595,34.83224234,36.98013951,13.14473201,7.3976106,31.34802889,54.09333973,28.83742055,24.55911477
ACAA1__chr3,211.7604661,166.0016574,197.9165682,266.6265682,322.8111287,332.9663577,137.386518,146.3627053,293.9268669,238.9485937,212.4188692,190.7526733,218.6898206,202.850024,269.1492585,188.7981948
ACAA2__chr18,557.9559776,543.3446321,413.8255517,611.0882215,501.7476345,449.0000885,446.1851871,301.2790752,385.5404358,359.8452037,390.6614353,382.5621482,433.647733,500.3633925,375.5272988,419.5515441
ACACA__chr17,60.64738887,56.30893226,41.98230234,77.83508512,54.40637001,50.44944814,103.3608851,93.13990336,78.73041078,118.0519838,113.5704845,98.28254083,44.03651678,0,103.814714,80.84041946
ACACB__chr12,17.68882175,12.43184219,35.98483058,13.24852513,19.34448711,30.26966889,9.629896124,4.752035886,7.157310071,17.0677567,6.309471363,8.982812872,3.731908202,4.507778311,19.8657786,12.79120561
ACAD10__chr12,18.19421666,5.118993842,4.498103823,19.87278769,37.47994378,5.044944814,17.33381302,14.25610766,10.97454211,17.0677567,16.29946769,7.926011358,13.43486953,9.015556622,12.81663136,11.25626094
ACAD8__chr11,64.18515322,96.52959816,32.9860947,92.73967589,65.28764401,45.40450333,56.49539059,57.97483781,42.94386042,36.98013951,44.16629954,68.16369768,70.90625583,153.2644626,41.01322034,75.72393722
ACAD9__chr3,22.74277082,30.71396305,34.48546264,72.8668882,27.80770023,15.13483444,42.37154294,23.76017943,36.26370436,56.89252232,49.94998163,52.31167496,44.03651678,40.5700048,53.18902013,41.95515441
ACADM__chr1,130.897281,159.4200939,65.9721894,59.61836307,125.7391662,45.40450333,56.49539059,100.7431608,73.48171673,66.84871372,86.22944197,81.90211736,112.7036277,162.2800192,92.92057734,76.74723367
ACADS__chr12,76.8200259,52.65250809,85.46397263,77.83508512,71.33279623,100.8988963,39.80357065,27.56180814,31.01501031,34.13551339,16.82525697,13.21001893,43.29013514,13.52333493,24.35159958,20.9775772
ACADSB__chr10,100.5735865,153.5698153,40.4829344,44.71377231,119.694014,151.3483444,71.90322439,66.5285024,40.0809364,66.84871372,63.62050291,67.63529692,44.03651678,67.61667466,71.13230403,65.49097273
ACADVL__chr17,563.5153216,405.1317983,406.328712,326.2449313,548.8998219,343.0562474,591.9176151,673.8386886,357.8655035,355.5782645,482.14877,461.293861,315.7194339,144.2489059,457.5537394,481.9726274
ACAP1__chr17,1.516184722,2.193854504,5.997471763,1.656065641,0,0,7.703916899,3.801628709,0.477154005,1.422313058,1.577367841,2.113603029,8.210198043,0,1.922494704,3.069889347
ACAP2__chr3,154.6508416,190.8653418,97.45891616,86.11541333,97.93146601,85.76406184,173.9801233,151.1147412,89.70495289,59.73714843,109.8899596,77.6749113,129.1240238,157.7722409,90.99808263,94.1432733
ACAP3__chr1,20.7211912,18.28212086,17.99241529,9.936393846,19.34448711,5.044944814,19.25979225,36.11547273,15.74608216,22.75700893,16.29946769,9.511213629,28.36250233,0,24.35159958,16.37274318
ACAT1__chr11,52.05567544,59.96535643,58.47534969,34.77737846,70.12376579,50.44944814,100.1509197,153.0155555,96.86226296,79.64953125,126.7152165,187.5822688,140.3197484,54.09333973,171.1020286,154.0061156
ACAT2__chr6,47.50712128,76.05362279,86.96334057,132.4852513,39.89800467,35.3146137,181.6840402,129.2553761,122.6285792,116.6296708,97.27101685,105.1517507,85.83388864,4.507778311,96.76556674,111.0276647
ACBD3__chr1,232.4816573,292.5139338,281.8811729,163.9504985,217.62548,322.8764681,227.2655485,209.089579,196.5874499,284.4626116,202.4288729,215.0591082,209.7332409,311.0367034,203.143607,176.5186374
ACBD4__chr17,40.43159258,39.48938107,37.48419852,52.99410051,85.84116157,95.85395147,41.08755679,37.06587991,12.88315813,19.91238281,23.66051761,30.11884316,40.30460858,40.5700048,33.9640731,23.0241701
ACBD5__chr10,153.6400518,188.6714873,88.46270851,107.6442667,143.8746229,161.4382341,98.22494046,62.72687369,86.36487485,76.80490513,95.69364901,78.20331206,104.4934296,76.63223128,78.82228284,66.51426918
ACBD6__chr1,30.32369443,50.45865358,77.96713293,71.21082256,47.15218734,30.26966889,75.11318977,89.33827466,77.77610277,61.15946149,104.1062775,103.0381476,59.71053122,135.2333493,64.72398835,112.5626094
ACBD7__chr10,2.021579629,2.193854504,5.997471763,1.656065641,15.71739578,5.044944814,5.135944599,17.10732919,2.862924028,0,10.51578561,4.755606815,2.985526561,4.507778311,14.09829449,10.74461271
ACCS__chr11,23.75356064,21.93854504,1.499367941,8.280328205,48.36121778,15.13483444,10.2718892,16.15692201,4.294386042,0,30.49577826,10.56801514,2.239144921,4.507778311,10.25330509,6.651426918
ACD__chr16,39.92619767,10.96927252,31.48672676,21.52885333,19.34448711,15.13483444,32.09965375,37.06587991,35.78655035,82.49415736,60.46576723,44.3856636,35.82631873,36.06222649,71.13230403,67.53756563
ACE__chr17,114.219249,95.06702849,1.499367941,26.49705026,216.4164496,206.8427374,10.2718892,30.41302967,6.203002061,8.533878348,30.49577826,12.68161817,3.731908202,9.015556622,11.53496822,8.186371591
ACE2__chrX,1019.381528,1172.24959,59.97471763,107.6442667,1352.905068,1377.269934,2.5679723,4.752035886,23.38054623,15.64544364,28.91841042,46.49926663,10.44934296,4.507778311,22.42910487,27.62900412
ACER2__chr9,56.0988347,32.90781755,14.99367941,3.312131282,19.34448711,5.044944814,6.419930749,3.801628709,14.31462014,12.80081752,4.732103523,2.113603029,11.94210624,18.03111324,10.25330509,2.558241122
ACER3__chr11,88.44410876,93.60445882,160.4323697,96.05180718,129.3662576,146.3033996,28.88968837,52.27239475,87.79633687,88.18340959,58.88839939,41.74365982,91.80494176,67.61667466,60.23816738,68.56086208
ACHE__chr7,194.0716444,65.08435028,19.49178323,39.74557538,238.1789976,156.3932892,8.987903049,0,17.65469817,0,13.14473201,7.926011358,7.463816403,0,10.25330509,5.116482245
ACIN1__chr14,741.4143289,705.6898653,653.7244222,662.4262564,504.1656954,822.3260047,1031.682871,776.4826638,839.3138943,833.475452,828.1181164,976.4845993,585.163206,558.9645105,656.2115255,874.4068156
ACKR2__chr3,1.010789814,0.731284835,0,1.656065641,1.209030445,0,0.641993075,0,1.908616019,0,2.103157121,3.170404543,2.239144921,0,0,0.511648224
ACKR4__chr3,70.2498921,60.69664127,154.4348979,86.11541333,65.28764401,55.49439296,3.85195845,5.702443063,33.40078033,39.82476562,14.72209985,25.8916371,20.89868593,27.04666986,31.40074682,30.18724524
ACLY__chr17,339.6253777,277.1569523,232.4020308,317.9646031,319.1840374,378.3708611,615.0293658,536.9800551,408.443828,421.0046652,351.7530285,371.4657323,329.1543034,311.0367034,417.8221822,445.1339553
ACMSD__chr2,5.559343979,13.16312702,0,0,9.672243557,20.17977926,0,0,0,0,0,0,0,0,0,0
ACO1__chr9,240.0625809,306.4083457,256.3919179,158.9823015,293.794398,317.8315233,199.6598463,173.9245134,186.0900618,183.4783845,223.9862334,214.5307074,185.1026468,139.7411276,213.3969121,218.9854401
ACO2__chr22,12.12947777,3.656424173,2.998735882,8.280328205,18.13545667,5.044944814,8.345909974,8.553664595,6.680156066,22.75700893,3.154735682,3.170404543,4.478289842,0,7.689978814,8.186371591
ACOT11__chr1,32.85066897,21.2072602,49.47914205,71.21082256,56.8244309,95.85395147,16.69181995,12.3552933,43.89816843,39.82476562,21.55736049,23.24963332,29.85526561,13.52333493,25.63326271,30.69889347
ACOT12__chr5,0,0,2.998735882,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT13__chr6,148.5861027,183.5524935,160.4323697,86.11541333,122.1120749,105.9438411,130.9665873,180.5773637,87.31918286,98.139601,114.6220631,110.964159,131.3631687,311.0367034,88.43475636,163.7274318
ACOT2__chr14,4.548554165,3.656424173,0,6.624262564,6.045152223,5.044944814,1.925979225,1.900814354,0.477154005,7.11156529,1.577367841,1.585202272,1.492763281,0,3.844989407,1.023296449
