,fold-change Control7 7a72,fold-change Control7 7b72
ITGB2,0.07546130030849278,-0.24038888723688068
STAT6,0.33112313228785034,0.8677916141013285
TGFB1,-0.11614802696930966,0.0149224910235163
TGFB2,0,inf
TGFBI,0.9583752989258176,0.6089827644629644
TGFBR1,0.8316967584530326,0.3449102945839005
TGFBR2,0.4074060162012444,0.8817468437593196
TNF,-0.5299433609606525,0.5016616668606825
TNFAIP1,0.5213504721436028,0.9694842276638083
TNFAIP2,0.5643278723194203,1.310383706971761
TNFAIP3,-0.540684112888448,1.738980460808733
TNFRSF10B,0.6798468312168369,0.48936364918855985
TNFRSF10C,0.2842816341526532,-0.44923889787395777
TNFRSF10D,-0.10405633422212299,0.020279094630294894
TNFSF10,0.022991626375371818,2.411821455719433
TNFSF14,1.5177233791007476,-0.30889020544608453
TNS4,1.0487487765782837,0.7973071404652085
SERPINB1,0.4801967864721588,0.7811045687141023
MSN,,
TRIM27,0.8768939128842198,0.7212379699048652
BST1,-0.9106726269437101,-1.3239031152404728
ENOSF1,0.5740586761563133,0.5774235040724269
ARHGEF26,0.9108440225754866,0.5310416983414787
CDH3,0.610992994381594,0.33029375215483314
CD44,0.8013707874482126,0.7584244445672665
ITGA3,0.5020467092217585,0.8765431493156548
ITGAL,inf,0
RHOG,0.8861899213334974,0.5876318515686934
DNM1L,1.00704378286493,1.1874300215051363
RIPK1,0.30340286998465343,0.8879898955022464
IKBKG,1.3473227811252768,1.1402519176052555
PNRC1,-0.12205273641318233,0.7373434289261843
HLA-DQA2,,
HHLA2,-0.8819820966448628,0.30289970918619114
HLA-A,0.3767199211252471,1.0469281385688556
HLA-B,0.2229658032216636,2.3510845243631047
HLA-DOB,0,inf
HLA-DRB1,0.9576063846622199,2.6954263457321814
HLA-E,0.303811237540101,1.309565406943394
HLA-F,-0.3871838992639576,2.392444028619651
HLA-F-AS1,0.19237656098125203,0.19500901119961
HLA-G,-3.1806402264355174,1.0866085464169517
HLA-H,-0.3600042253293797,-0.2981591992900747
HLA-J,0.5393432565769877,2.7010930192215263
HLA-L,inf,inf
IFI30,0.5378759889347698,1.5346273161870247
FGFR1,1.3211703592978403,0.691133878823306
FGFR2,1.0791326297030057,0.9789146609298532
FOS,-0.9038449911066094,0.14551905909843987
ICAM1,-3.912086094844792,0.8101841136566104
JUN,1.1490664293677657,1.5596876653718446
JUNB,0.21523251008693955,0.5536473569037402
JUND,0.4186562666589691,0.3951990447130177
MAP3K8,1.639560242465174,1.7153907658067502
CCL2,1.1323323357716384,1.8005616103140367
CCL20,-1.5720190520445265,1.582083453855034
CX3CL1,3.1812577088776792,0.9905764814393602
CXCL1,0.6599097657330745,1.8128857283205322
CXCL10,0.5199617908062488,8.5858506134473
CXCL11,2.1846503859707616,5.602304961454085
CXCL2,0.044946155035007894,1.9465340861426461
CXCL3,0.600603297108075,1.192552385227842
CXCL5,0.8467308667553731,1.0151788794767822
CXCL6,-0.23729633132814468,2.168685125251419
SERPINF1,1.4721433341650247,-4.5254290315973025
COL1A1,1.4817567803419718,2.667412807356743
ACE,-0.4870768761456607,0.38406543164934875
AGT,inf,inf
REN,-1.3468937625368427,-0.36258876525825307
IGF1R,0.7465547035961253,0.4880488019004337
ATP6AP2,0.18499488032674524,0.5544885054546772
IGF1,,
VDR,-0.147591222191707,0.5219999798152433
IFNGR1,-0.15872201584480855,0.7390389838480681
IFNGR2,-0.18547184959528193,0.9287927628148188
ACE2,-1.6496711480813229,0.966269010489956
ADAM17,0.30751625165269175,0.7674945517668605
ADAMTSL5,1.0613027491839964,0.5310097549905961
AGTR1,,
AGTR2,,
CAV1,1.9188385204918477,1.5071651153279515
CAV2,1.0825159896475605,1.0383630026615824
CD14,1.5780326821813087,2.033170736518726
CD209,0,0
CLEC4E,1.33630525017867,-0.6625973502595336
EGFR,1.1423714435876597,-0.36949085281083177
HNRNPC,0.7214584487611682,0.8152767527890724
IRAK2,-1.1293577573497717,-0.12029129563618836
MAPK11,0,inf
MRC1,,
MYD88,0.9059822255622478,1.5777215899895956
SMAD3,0.04696190034404587,0.2639951784490424
SMAD4,0.5651621209823081,0.2845893356242296
TIMP2,-0.5724837965353843,0.17122995057614748
TIMP3,1.3450791822138342,0.23713983389509669
TIMP4,2.3116294484522486,-0.15428657778608426
TLR1,,
TLR10,inf,inf
TLR2,1.2876484036366158,-2.759970847651069
TLR3,1.0914414427666919,2.4247556889639315
TLR4,3.300920529181989,2.5346646840402864
TLR5,2.796620781033036,2.5416497297889973
TLR6,5.361447995390936,5.523999808896809
TLR7,inf,inf
TLR8,,
TLR8-AS1,3.9212677507006366,inf
TLR9,,
TMPRSS2,-0.3249129832996476,0.6800721643114691
TMPRSS7,inf,-0.30889020544608453
MAPK1,0.8187764037801302,0.8586629859964806
S100A6,0.3946449833993719,0.8016416157937849
APP,0.4599090730170945,0.5757063475083652
JAK1,0.25810042098941993,0.7819030620353039
MAPK1IP1L,0.6334155188625668,0.5796346048877938
NFKBIA,0.2743228852513517,1.5073002720358089
PIK3AP1,0.3708970212615823,0.9363076134546017
RIOK2,0.333224416965137,1.0918000851768441
RPL11,0.7840271102875507,0.8863093539614348
RPL26,0.6562542965949544,0.9382190331803317
SOCS2,-2.8084951835920546,1.215714651826042
SOCS2-AS1,inf,inf
SOCS4,0.9676801576670456,0.15110692592276423
SOCS5,0.46290546232618707,0.465812436064204
SOCS6,0.817404378827033,0.7071861191336645
SOCS7,0.7981542587710654,-0.2248022204065328
STAT3,0.23172142968362183,0.15858826072779922
STAT4,inf,3.8141195081407218
STAT5A,0.9123479437424964,0.828906884571757
STAT5B,1.0963881511141664,0.9329575868174951
TRAF2,1.4249574343903164,1.3160852992097547
ZNFX1,1.1313416002006536,2.289035315648815
NOTCH2,1.372285112369917,0.6978871012130858
NT5DC1,0.5224387751179801,0.4840681696763763
SLC4A1AP,0.5227885896271597,0.9574635687036249
KPNA2,0.8251996059527577,0.7612319629022707
KPNA3,0.34467363795232164,0.5286652615977889
KPNA4,0.44605725016482173,0.8212785184701485
KPNA5,-1.8019663042170957,-2.365545482760304
KPNA6,0.7247853386475464,0.6268506979065945
TRIM3,0.7158544201873193,0.08460177685816787
SLC2A10,1.4719058899022743,1.273328430233049
HLA-C,0.1421515418621541,1.39556423512507
CXCL12,0,0
IGF2,,
IGF2R,0.5832206914119447,0.4642757134084923
TMPRSS4,0.25267205325259484,0.5001785365976341
CRP,,
HIF1A,-1.2081008271946214,0.9045368426915378
LGALS3,-0.2614076990021919,0.3925807747418441
TNFRSF1A,0.44158122713907894,0.784095664276345
TNFRSF1B,0.43116892491563447,0.49574897972203114
GAPDH,0.0,0.0
AGER,3.66154138428613,2.0863641594978297
RELA,0.11929216223246997,-0.29001769461088805
HMGB1,0.8550731827244186,0.6691607739978831
ESR1,,
ESR2,0,inf
RAN,0.9385614636310524,0.9505115588969401
NLRX1,0.8754363232313223,0.40778129563120824
P2RY6,,
PTPN11,0.9159121894567821,0.5776810354780029
GSK3B,1.0470518307355694,1.1797970907834245
